电影名称,变3
导演,迈克尔·贝
演员1,希亚·拉博夫
演员2,罗茜·汉丁顿-惠特莉
演员3,乔什·杜哈明
演员4,泰瑞斯·吉布森
演员5,约翰·马尔科维奇
演员6,弗兰西斯·麦克多蒙德
演员7,郑肯
演员8,凯文·杜恩
演员9,朱丽叶·怀特
演员10,帕特里克·德姆西
演员11,艾伦·图代克
5星,12.8%
4星,36.9%
3星,41.1%
2星,7.5%
1星,1.7%
制片国家,美国
编剧,伊伦·克鲁格
类型,动作/科幻
豆瓣评分,7
上映日期,2011-07-21
片长,154分钟
