date,open,close,high,low,volume,code
2018/6/8,769.08,767.059,774.897,759.22,34958,600519
2018/5/24,709.92,705.384,718.459,703.018,30416,600519
2018/5/24,709.92,705.384,718.459,703.018,30416,600519
2018/5/21,733.584,724.533,736.838,722.225,29059,600519
2018/5/16,729.64,724.237,735.221,723.014,30795,600519
2018/5/11,708.628,707.968,720.273,705.68,39141,600519
2018/5/11,708.628,707.968,720.273,705.68,39141,600519
2018/5/2,650.76,658.48,659.624,636.029,70259,600519
2018/5/2,650.76,658.48,659.624,636.029,70259,600519
2018/5/2,650.76,658.48,659.624,636.029,70259,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/3/28,690.17,672.501,693.158,659.634,113539,600519
2018/1/9,741.679,771.565,772.038,741.679,64591,600519
